id,owner,source_uri,field_operator,scrape_id,capacity,operator,rig_id,name,scrape_date,site,location_field,country,detail_uri,rated_water_depth,manager,drilling_depth,rig_type,top drive,rig design,current_water_depth,region,derrick,rig_design,rotary table,mud pumps,ship_type,flag,operating_status,competitive_rig,drawworks,delivery year,classification,shipyard
98,Maersk,http://fpso.com/fpso/?page=5,Woodside,pigUztOx,1900,Maersk,MAERSK NGUJIMA-YIN,MAERSK NGUJIMA-YIN,2014-09-18 18:56:16.286632,FPSO,Vincent,Australia,http://fpso.com/fpso/95/,,,,,,,,,,,,,,,,,,,,
99,SBMO,http://fpso.com/fpso/?page=5,Petrobras,pigUztOx,1600,SBMO,MARLIM SUL,MARLIM SUL,2014-09-18 18:56:16.286632,FPSO,Marlim Sul,Brazil,http://fpso.com/fpso/96/,,,,,,,,,,,,,,,,,,,,
100,Rasmussen,http://fpso.com/fpso/?page=5, ,pigUztOx,100, ,Mitsui F601,Mitsui F601,2014-09-18 18:56:16.286632,FPSO,Malaysia,Malaysia,http://fpso.com/fpso/180/,,,,,,,,,,,,,,,,,,,,
101,MODEC,http://fpso.com/fpso/?page=6,Santos,pigUztOx,930,MODEC,MODEC VENTURE 11,MODEC VENTURE 11,2014-09-18 18:56:16.286632,FPSO,"Mutineer, Exeter, WA-191-P",Australia,http://fpso.com/fpso/97/,,,,,,,,,,,,,,,,,,,,
102,MODEC,http://fpso.com/fpso/?page=6, ,pigUztOx,30,BHP,Modec Venture I,Modec Venture I,2014-09-18 18:56:16.286632,FPSO,ZOC 91 - 12 Elang/ Kakatua,Australia,http://fpso.com/fpso/179/,,,,,,,,,,,,,,,,,,,,
103,JV - SBMO/ Partner,http://fpso.com/fpso/?page=6,ExxonMobil,pigUztOx,1600,SBMO+JV Partner,MONDO,MONDO,2014-09-18 18:56:16.286632,FPSO,"Mondo, Saxi & Batuque",Angola,http://fpso.com/fpso/98/,,,,,,,,,,,,,,,,,,,,
104,Tanker Pacifi,http://fpso.com/fpso/?page=6,Coogee,pigUztOx,900,SembCorp Marine,MONTARA VENTURE,MONTARA VENTURE,2014-09-18 18:56:16.286632,FPSO,"Montara, Skua",Australia,http://fpso.com/fpso/99/,,,,,,,,,,,,,,,,,,,,
105,Bluewater,http://fpso.com/fpso/?page=6,StatoilHydro,pigUztOx,600,Bluewater,MUNIN,MUNIN,2014-09-18 18:56:16.286632,FPSO,Lufeng 22-1,China,http://fpso.com/fpso/100/,,,,,,,,,,,,,,,,,,,,
106,MODEC,http://fpso.com/fpso/?page=6, ,pigUztOx,15,Matrix Oil,MV8 Langsa Venture,MV8 Langsa Venture,2014-09-18 18:56:16.286632,FPSO,"Langsa field, N. Sumatra",Indonesia,http://fpso.com/fpso/182/,,,,,,,,,,,,,,,,,,,,
107,MODEC,http://fpso.com/fpso/?page=6,Mitsui Oil Exploration,pigUztOx,272,MODEC,MV 8 LANGSA VENTURE,MV 8 LANGSA VENTURE,2014-09-18 18:56:16.286632,FPSO,Langsa,Indonesia,http://fpso.com/fpso/101/,,,,,,,,,,,,,,,,,,,,
108,Agip Energy & Natural Resources,http://fpso.com/fpso/?page=6,Agip Nigeria,pigUztOx,1035,Agip Energy & Natural Resources,MYSTRAS,MYSTRAS,2014-09-18 18:56:16.286632,FPSO,Okono & Okpono Fields,Nigeria,http://fpso.com/fpso/102/,,,,,,,,,,,,,,,,,,,,
109,CNOOC,http://fpso.com/fpso/?page=6,CNOOC,pigUztOx,1000,CNOOC,NAN HAI ENDEAVOR (FEN JIN HAO),NAN HAI ENDEAVOR (FEN JIN HAO),2014-09-18 18:56:16.286632,FPSO,"Wenchang 13-1, 13-2",China,http://fpso.com/fpso/103/,,,,,,,,,,,,,,,,,,,,
110,CNOOC,http://fpso.com/fpso/?page=6,CACT,pigUztOx,1600,CNOOC,NAN HAI FA XIAN,NAN HAI FA XIAN,2014-09-18 18:56:16.286632,FPSO,Huizhou 19-3-1,China,http://fpso.com/fpso/104/,,,,,,,,,,,,,,,,,,,,
111,ConocoPhillips,http://fpso.com/fpso/?page=6,ConocoPhillips,pigUztOx,1000,ConocoPhillips,NAN HAI KAI TUO,NAN HAI KAI TUO,2014-09-18 18:56:16.286632,FPSO,"Xijing Block 24-3, 30-2",China,http://fpso.com/fpso/105/,,,,,,,,,,,,,,,,,,,,
112,MODEC,http://fpso.com/fpso/?page=6,CNOOC,pigUztOx,650,MODEC,NAN HAI SHENG LI,NAN HAI SHENG LI,2014-09-18 18:56:16.286632,FPSO,Liuhua 11-1,China,http://fpso.com/fpso/106/,,,,,,,,,,,,,,,,,,,,
113,CNOOC,http://fpso.com/fpso/?page=6,CNOOC,pigUztOx,600,CNOOC,NAN HAI XI WANG (Note 2),NAN HAI XI WANG (Note 2),2014-09-18 18:56:16.286632,FPSO,Weizhou 10-3,China,http://fpso.com/fpso/107/,,,,,,,,,,,,,,,,,,,,
114,Nexus Floating Production,http://fpso.com/fpso/?page=6, ,pigUztOx,950,Nexus Floating Production,NEXUS I FPSO,NEXUS I FPSO,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/108/,,,,,,,,,,,,,,,,,,,,
115,Nexus Floating Production,http://fpso.com/fpso/?page=6, ,pigUztOx,950,Nexus Floating Production,NEXUS II FPSO,NEXUS II FPSO,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/109/,,,,,,,,,,,,,,,,,,,,
116,Woodside,http://fpso.com/fpso/?page=6,Woodside,pigUztOx,1400,Woodside,NGANHURRA,NGANHURRA,2014-09-18 18:56:16.286632,FPSO,Enfield,Australia,http://fpso.com/fpso/110/,,,,,,,,,,,,,,,,,,,,
117,Prosafe,http://fpso.com/fpso/?page=6,Apache,pigUztOx,650,Prosafe,NINGALOO VISION,NINGALOO VISION,2014-09-18 18:56:16.286632,FPSO,Van Gogh,Australia,http://fpso.com/fpso/111/,,,,,,,,,,,,,,,,,,,,
118,Maersk,http://fpso.com/fpso/?page=6,Total,pigUztOx,1000,Maersk,N’KOSSA LPG FPU,N’KOSSA LPG FPU,2014-09-18 18:56:16.286632,FPSO,Haute Mer - N’Kossa,Congo,http://fpso.com/fpso/112/,,,,,,,,,,,,,,,,,,,,
119,StatoilHydro,http://fpso.com/fpso/?page=6,StatoilHydro,pigUztOx,2000,StatoilHydro,NORNE,NORNE,2014-09-18 18:56:16.286632,FPSO,Norne,Norway,http://fpso.com/fpso/113/,,,,,,,,,,,,,,,,,,,,
120,Woodside,http://fpso.com/fpso/?page=6, ,pigUztOx,170,Woodside,Northern Endeavor,Northern Endeavor,2014-09-18 18:56:16.286632,FPSO,Laminaria,Australia,http://fpso.com/fpso/181/,,,,,,,,,,,,,,,,,,,,
121,Woodside,http://fpso.com/fpso/?page=7,Woodside,pigUztOx,689,Woodside,NORTHERN ENDEAVOUR,NORTHERN ENDEAVOUR,2014-09-18 18:56:16.286632,FPSO,"Laminaria, Corallina",Australia,http://fpso.com/fpso/115/,,,,,,,,,,,,,,,,,,,,
122,North Sea Production,http://fpso.com/fpso/?page=7,ConocoPhillips,pigUztOx,560,North Sea Production,NORTH SEA PRODUCER (Note 3),NORTH SEA PRODUCER (Note 3),2014-09-18 18:56:16.286632,FPSO,MacCulloch,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/114/,,,,,,,,,,,,,,,,,,,,
123,Oceaneering,http://fpso.com/fpso/?page=7,Sonangol,pigUztOx,510,Oceaneering,OCEAN PRODUCER,OCEAN PRODUCER,2014-09-18 18:56:16.286632,FPSO,"Canuku: Nance Sul, Caama, Centro",Angola,http://fpso.com/fpso/116/,,,,,,,,,,,,,,,,,,,,
124,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,1600,Petrobras,P-31,P-31,2014-09-18 18:56:16.286632,FPSO,Albacora,Brazil,http://fpso.com/fpso/117/,,,,,,,,,,,,,,,,,,,,
125,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,700,Petrobras,P-33,P-33,2014-09-18 18:56:16.286632,FPSO,Marlim,Brazil,http://fpso.com/fpso/118/,,,,,,,,,,,,,,,,,,,,
126,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,1800,Petrobras,P-34,P-34,2014-09-18 18:56:16.286632,FPSO,Barracuda & Caratinga,Brazil,http://fpso.com/fpso/119/,,,,,,,,,,,,,,,,,,,,
127,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,650,Petrobras,P-35,P-35,2014-09-18 18:56:16.286632,FPSO,Marlim,Brazil,http://fpso.com/fpso/120/,,,,,,,,,,,,,,,,,,,,
128,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,1000,Petrobras,P-37,P-37,2014-09-18 18:56:16.286632,FPSO,Marlim,Brazil,http://fpso.com/fpso/121/,,,,,,,,,,,,,,,,,,,,
129,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,880,Petrobras,P-43,P-43,2014-09-18 18:56:16.286632,FPSO,Barracuda,Brazil,http://fpso.com/fpso/122/,,,,,,,,,,,,,,,,,,,,
130,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,500,Petrobras,P-48,P-48,2014-09-18 18:56:16.286632,FPSO,Caratinga,Brazil,http://fpso.com/fpso/123/,,,,,,,,,,,,,,,,,,,,
131,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,1035,Petrobras,P-50,P-50,2014-09-18 18:56:16.286632,FPSO,Albacora Leste,Brazil,http://fpso.com/fpso/124/,,,,,,,,,,,,,,,,,,,,
132,CDC,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,2000,Petrobras,P-53,P-53,2014-09-18 18:56:16.286632,FPSO,Marlim Leste,Brazil,http://fpso.com/fpso/125/,,,,,,,,,,,,,,,,,,,,
133,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,2000,Petrobras,P-54,P-54,2014-09-18 18:56:16.286632,FPSO,Roncador Module 2,Brazil,http://fpso.com/fpso/126/,,,,,,,,,,,,,,,,,,,,
134,Petrobras,http://fpso.com/fpso/?page=7,Petrobras,pigUztOx,1600,SBM (First 3 years),P-57,P-57,2014-09-18 18:56:16.286632,FPSO,"Jubarte, Ph 2",Brazil,http://fpso.com/fpso/127/,,,,,,,,,,,,,,,,,,,,
135,CNOOC,http://fpso.com/fpso/?page=7, ,pigUztOx,70,Devon Energy,Panyu,Panyu,2014-09-18 18:56:16.286632,FPSO,Panyu field,China,http://fpso.com/fpso/183/,,,,,,,,,,,,,,,,,,,,
136,Total,http://fpso.com/fpso/?page=7,Total,pigUztOx,2000,Total,PAZFLOR,PAZFLOR,2014-09-18 18:56:16.286632,FPSO,Block 17,Angola,http://fpso.com/fpso/128/,,,,,,,,,,,,,,,,,,,,
137,Maersk,http://fpso.com/fpso/?page=7,StatoilHydro,pigUztOx,1600,Maersk,PEREGRINO,PEREGRINO,2014-09-18 18:56:16.286632,FPSO,Peregrino,Brazil,http://fpso.com/fpso/129/,,,,,,,,,,,,,,,,,,,,
138,M3nergy,http://fpso.com/fpso/?page=7,Petronas Carigali,pigUztOx,640,M3nergy,PERINTIS,PERINTIS,2014-09-18 18:56:16.286632,FPSO,"MASA: Malong, Sotong, Anding",Malaysia,http://fpso.com/fpso/130/,,,,,,,,,,,,,,,,,,,,
139,PGS,http://fpso.com/fpso/?page=7, ,pigUztOx,60,Arco,Petrojarl,Petrojarl,2014-09-18 18:56:16.286632,FPSO,Blenheim,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/185/,,,,,,,,,,,,,,,,,,,,
140,Teekay Petrojarl,http://fpso.com/fpso/?page=7,CNRL International,pigUztOx,180,Teekay Petrojarl,PETROJARL BANFF,PETROJARL BANFF,2014-09-18 18:56:16.286632,FPSO,Banff,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/131/,,,,,,,,,,,,,,,,,,,,
141,PGS,http://fpso.com/fpso/?page=8,BP,pigUztOx,140,BP,Petrojarl Foinaven,Petrojarl Foinaven,2014-09-18 18:56:16.286632,FPSO,Foinaven,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/186/,,,,,,,,,,,,,,,,,,,,
142,Teekay Petrojarl,http://fpso.com/fpso/?page=8,BP,pigUztOx,280,Teekay Petrojarl,PETROJARL FOINAVEN,PETROJARL FOINAVEN,2014-09-18 18:56:16.286632,FPSO,"Foinaven, Foinaven East",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/132/,,,,,,,,,,,,,,,,,,,,
143,Teekay Petrojarl,http://fpso.com/fpso/?page=8,StatoilHydro,pigUztOx,420,Teekay Petrojarl,PETROJARL I,PETROJARL I,2014-09-18 18:56:16.286632,FPSO,Glitne,Norway,http://fpso.com/fpso/133/,,,,,,,,,,,,,,,,,,,,
144,Teekay Petrojarl,http://fpso.com/fpso/?page=8,Talisman,pigUztOx,1000,Teekay Petrojarl,PETROJARL VARG,PETROJARL VARG,2014-09-18 18:56:16.286632,FPSO,Varg,Norway,http://fpso.com/fpso/134/,,,,,,,,,,,,,,,,,,,,
145,JV - Prosafe/ Fred Olsen,http://fpso.com/fpso/?page=8,Vaalco Energy,pigUztOx,1080,JV - Prosafe/ Fred Olsen,PETROLEO NAUTIPA,PETROLEO NAUTIPA,2014-09-18 18:56:16.286632,FPSO,Etame,Gabon,http://fpso.com/fpso/135/,,,,,,,,,,,,,,,,,,,,
146,Petrobras,http://fpso.com/fpso/?page=8,Petrobras,pigUztOx,300,Dynamic Producer,PIPA II FPDSO,PIPA II FPDSO,2014-09-18 18:56:16.286632,FPSO, ,Brazil,http://fpso.com/fpso/136/,,,,,,,,,,,,,,,,,,,,
147,Prosafe,http://fpso.com/fpso/?page=8,Devon Energy,pigUztOx,1600,Prosafe,POLVO,POLVO,2014-09-18 18:56:16.286632,FPSO,Polvo,Brazil,http://fpso.com/fpso/137/,,,,,,,,,,,,,,,,,,,,
148,MODEC,http://fpso.com/fpso/?page=8,BHP Billiton,pigUztOx,850,MODEC,PYRENEES,PYRENEES,2014-09-18 18:56:16.286632,FPSO,"Pyrenees (Crosby, Revensworth, Stickle)",Australia,http://fpso.com/fpso/138/,,,,,,,,,,,,,,,,,,,,
149,SBMO,http://fpso.com/fpso/?page=8, ,pigUztOx,1000,SBMO,RANG DONG I,RANG DONG I,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/139/,,,,,,,,,,,,,,,,,,,,
150,Tanker Pacific,http://fpso.com/fpso/?page=8,OMV,pigUztOx,120,Tanker Pacific,RAROA,RAROA,2014-09-18 18:56:16.286632,FPSO,Maari,New Zealand,http://fpso.com/fpso/140/,,,,,,,,,,,,,,,,,,,,
151,Rubicon Offshore,http://fpso.com/fpso/?page=8,Galoc Production Co.,pigUztOx,450,Rubicon Offshore,RUBICON INTREPID,RUBICON INTREPID,2014-09-18 18:56:16.286632,FPSO,Galoc,Philippines,http://fpso.com/fpso/141/,,,,,,,,,,,,,,,,,,,,
152,Rubicon Offshore,http://fpso.com/fpso/?page=8,GFI O & G,pigUztOx,450,Rubicon Offshore,RUBICON VANTAGE,RUBICON VANTAGE,2014-09-18 18:56:16.286632,FPSO,Bualuang,Thailand,http://fpso.com/fpso/142/,,,,,,,,,,,,,,,,,,,,
153,Viet Nam Offshore Floating Terminal,http://fpso.com/fpso/?page=8,PetroViet Nam E&P,pigUztOx,745,PTSC,RUBY II (Note 12),RUBY II (Note 12),2014-09-18 18:56:16.286632,FPSO,Blocks 01 & 02,Viet Nam,http://fpso.com/fpso/143/,,,,,,,,,,,,,,,,,,,,
154,PTSC,http://fpso.com/fpso/?page=8,PetroViet Nam E&P,pigUztOx,1000,PTSC,RUBY PRINCESS,RUBY PRINCESS,2014-09-18 18:56:16.286632,FPSO,Ruby,Viet Nam,http://fpso.com/fpso/144/,,,,,,,,,,,,,,,,,,,,
155,Chevron,http://fpso.com/fpso/?page=8,Chevron,pigUztOx,362,Chevron,SANHA LPG FPSO,SANHA LPG FPSO,2014-09-18 18:56:16.286632,FPSO,Sanha-Bomboco,Angola,http://fpso.com/fpso/145/,,,,,,,,,,,,,,,,,,,,
156,JV - SBMO/ Partner,http://fpso.com/fpso/?page=8,ExxonMobil,pigUztOx,2000,SBMO+JV Partner,SAXI-BATUQUE (KIZOMBA C),SAXI-BATUQUE (KIZOMBA C),2014-09-18 18:56:16.286632,FPSO,"Mondo, Saxi & Batuque",Angola,http://fpso.com/fpso/146/,,,,,,,,,,,,,,,,,,,,
157,BP,http://fpso.com/fpso/?page=8,BP,pigUztOx,1000,BP,SCHIEHALLION,SCHIEHALLION,2014-09-18 18:56:16.286632,FPSO,Schiehallion,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/147/,,,,,,,,,,,,,,,,,,,,
158,Shell,http://fpso.com/fpso/?page=8,Shell,pigUztOx,920,Shell,SEA EAGLE (EA FPSO),SEA EAGLE (EA FPSO),2014-09-18 18:56:16.286632,FPSO,EA (OML 79),Nigeria,http://fpso.com/fpso/148/,,,,,,,,,,,,,,,,,,,,
159,HUnited Kingdom,http://fpso.com/fpso/?page=8,HUnited Kingdom,pigUztOx,630,HUnited Kingdom,SEA ROSE (WHITE ROSE),SEA ROSE (WHITE ROSE),2014-09-18 18:56:16.286632,FPSO,White Rose,Canada,http://fpso.com/fpso/149/,,,,,,,,,,,,,,,,,,,,
160,Frontier Drilling do Brazil,http://fpso.com/fpso/?page=8,Petrobras,pigUztOx,2000,Petrobras,SEILLEAN (Note 1),SEILLEAN (Note 1),2014-09-18 18:56:16.286632,FPSO,Espirito Santo,Brazil,http://fpso.com/fpso/150/,,,,,,,,,,,,,,,,,,,,
161,BW Offshore,http://fpso.com/fpso/?page=9,Addax Petroleum,pigUztOx,920,BW Offshore,SENDJE BERGE,SENDJE BERGE,2014-09-18 18:56:16.286632,FPSO,"Okwori, Okwori South",Nigeria,http://fpso.com/fpso/151/,,,,,,,,,,,,,,,,,,,,
162,ExxonMobil,http://fpso.com/fpso/?page=9,ExxonMobil/GEPetrol,pigUztOx,1900,ExxonMobil,SERPENTINA,SERPENTINA,2014-09-18 18:56:16.286632,FPSO,Zafi ro Southern Expansion Area,Equatorial Guinea,http://fpso.com/fpso/153/,,,,,,,,,,,,,,,,,,,,
163,Sevan Marine,http://fpso.com/fpso/?page=9,Venture Production,pigUztOx,300,Wood Group,SEVAN HUMMINGBIRD,SEVAN HUMMINGBIRD,2014-09-18 18:56:16.286632,FPSO,Chestnut,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/154/,,,,,,,,,,,,,,,,,,,,
164,Sevan Marine,http://fpso.com/fpso/?page=9,Petrobras,pigUztOx,300,Sevan Marine,SEVAN PIRANEMA,SEVAN PIRANEMA,2014-09-18 18:56:16.286632,FPSO,Piranema,Brazil,http://fpso.com/fpso/155/,,,,,,,,,,,,,,,,,,,,
165,Sevan Marine,http://fpso.com/fpso/?page=9,Oilexco,pigUztOx,300,Wood Group,SEVAN VOYAGEUR,SEVAN VOYAGEUR,2014-09-18 18:56:16.286632,FPSO,Shelley,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/156/,,,,,,,,,,,,,,,,,,,,
166,JV - AGR/ Helix,http://fpso.com/fpso/?page=9,Total,pigUztOx, ,JV - AGR/ Helix,SHIRAZ,SHIRAZ,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/157/,,,,,,,,,,,,,,,,,,,,
167,BP,http://fpso.com/fpso/?page=9,BP,pigUztOx,554,BP,SKARV-IDUN,SKARV-IDUN,2014-09-18 18:56:16.286632,FPSO,Skarv-Indun,Norway,http://fpso.com/fpso/158/,,,,,,,,,,,,,,,,,,,,
168,MODEC,http://fpso.com/fpso/?page=9,TSJOC,pigUztOx,360,MODEC,SONG DOC MV19,SONG DOC MV19,2014-09-18 18:56:16.286632,FPSO,Song Doc,Viet Nam,http://fpso.com/fpso/159/,,,,,,,,,,,,,,,,,,,,
169,Sevan Marine,http://fpso.com/fpso/?page=9, ,pigUztOx,300,Sevan Marine,SSP 300 No.4,SSP 300 No.4,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/160/,,,,,,,,,,,,,,,,,,,,
170,Sevan Marine,http://fpso.com/fpso/?page=9, ,pigUztOx,270,Sevan Marine,SSP 300 No.5,SSP 300 No.5,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/161/,,,,,,,,,,,,,,,,,,,,
171,MODEC,http://fpso.com/fpso/?page=9,BHP Billiton,pigUztOx,53,MODEC,STYBARROW MV16,STYBARROW MV16,2014-09-18 18:56:16.286632,FPSO,Stybarrow,Australia,http://fpso.com/fpso/162/,,,,,,,,,,,,,,,,,,,,
172,Prosafe,http://fpso.com/fpso/?page=9, ,pigUztOx, ,Prosafe,TAKAMA,TAKAMA,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/163/,,,,,,,,,,,,,,,,,,,,
173,Chevron,http://fpso.com/fpso/?page=9,Chevron,pigUztOx,1000,Chevron,TANTAWAN EXPLORER,TANTAWAN EXPLORER,2014-09-18 18:56:16.286632,FPSO,Tantawan,Thailand,http://fpso.com/fpso/164/,,,,,,,,,,,,,,,,,,,,
174,Petro-Canada,http://fpso.com/fpso/?page=9,Petro-Canada,pigUztOx,550,Petro-Canada,TERRA NOVA,TERRA NOVA,2014-09-18 18:56:16.286632,FPSO,Terra Nova,Canada,http://fpso.com/fpso/165/,,,,,,,,,,,,,,,,,,,,
175,Toisa Horizon,http://fpso.com/fpso/?page=9,PEMEX,pigUztOx,24,Secunda Marine,TOISA PISCES,TOISA PISCES,2014-09-18 18:56:16.286632,FPSO, ,Mexico,http://fpso.com/fpso/166/,,,,,,,,,,,,,,,,,,,,
176,ConocoPhillips,http://fpso.com/fpso/?page=9,Shebah E&P,pigUztOx,1700,Alliance Marine Services,TRINITY SPIRIT,TRINITY SPIRIT,2014-09-18 18:56:16.286632,FPSO,Ukpokiti,Nigeria,http://fpso.com/fpso/167/,,,,,,,,,,,,,,,,,,,,
177,Amerada / Hess Shell,http://fpso.com/fpso/?page=9, ,pigUztOx,105,Amerada / Hess Shell,Triton,Triton,2014-09-18 18:56:16.286632,FPSO,Bittern,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/187/,,,,,,,,,,,,,,,,,,,,
178,Bluewater,http://fpso.com/fpso/?page=9, ,pigUztOx,50,Amerada Hess,Uisge Gorm,Uisge Gorm,2014-09-18 18:56:16.286632,FPSO,"Fife, Fergus, Flora, Angus",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/184/,,,,,,,,,,,,,,,,,,,,
179,Prosafe,http://fpso.com/fpso/?page=9,Australian Worldwide Exploration,pigUztOx,773,Prosafe,UMUROA,UMUROA,2014-09-18 18:56:16.286632,FPSO,Tui,New Zealand,http://fpso.com/fpso/170/,,,,,,,,,,,,,,,,,,,,
180,Total,http://fpso.com/fpso/?page=9,Total,pigUztOx,2000,Total,USAN/UKOT,USAN/UKOT,2014-09-18 18:56:16.286632,FPSO,OPL 222 - Usan,Nigeria,http://fpso.com/fpso/171/,,,,,,,,,,,,,,,,,,,,
181,CNOOC,http://fpso.com/fpso/?page=10,CNOOC,pigUztOx,700,CNOOC,WENCHANG II (HAI YANG SHI YOU 116),WENCHANG II (HAI YANG SHI YOU 116),2014-09-18 18:56:16.286632,FPSO,Wenchang,China,http://fpso.com/fpso/172/,,,,,,,,,,,,,,,,,,,,
182,Shell Todd,http://fpso.com/fpso/?page=10, ,pigUztOx,30,Shell Todd,Whakaaropai,Whakaaropai,2014-09-18 18:56:16.286632,FPSO,Maui B,New Zealand,http://fpso.com/fpso/178/,,,,,,,,,,,,,,,,,,,,
183,CNOOC,http://fpso.com/fpso/?page=10,CNOOC,pigUztOx,1000,CNOOC,XIJIANG (HAI YANG SHI YOU 115),XIJIANG (HAI YANG SHI YOU 115),2014-09-18 18:56:16.286632,FPSO,Xijiang 23-1,China,http://fpso.com/fpso/173/,,,,,,,,,,,,,,,,,,,,
184,JV - SBMO/ Partner,http://fpso.com/fpso/?page=10,ExxonMobil,pigUztOx,1700,SBMO+JV Partner,XIKOMBA,XIKOMBA,2014-09-18 18:56:16.286632,FPSO,Xikomba,Angola,http://fpso.com/fpso/174/,,,,,,,,,,,,,,,,,,,,
185,BW Offshore,http://fpso.com/fpso/?page=10,Pemex,pigUztOx,2200,BW Offshore,YUUM K’AK’ NAAB,YUUM K’AK’ NAAB,2014-09-18 18:56:16.286632,FPSO,KuMaZu,Mexico,http://fpso.com/fpso/175/,,,,,,,,,,,,,,,,,,,,
186,ExxonMobil,http://fpso.com/fpso/?page=10,ExxonMobil/GEPetrol,pigUztOx,1900,ExxonMobil,ZAFIRO PRODUCER,ZAFIRO PRODUCER,2014-09-18 18:56:16.286632,FPSO,Zafi ro Block B,Equatorial Guinea,http://fpso.com/fpso/176/,,,,,,,,,,,,,,,,,,,,
288,,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,,Alpha,Alpha,2014-09-18 19:15:55.090026,Rigzone -- full,,,http://www.rigzone.com/data/offshore_drilling_rigs/1573/Tender/Atlantica_Tender_Drilling_Ltd/Alpha,656 ft.,Atlantica Tender Drilling Ltd.,"",Tender,,,,,,,,,,,,,,,,
289,Atlantica Tender Drilling Ltd.,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Total,Atwood Aurora,Atwood Aurora,2014-09-18 19:15:55.090026,Rigzone -- full,,Congo,http://www.rigzone.com/data/offshore_drilling_rigs/1404/Jackup/Atwood_Oceanics/Atwood_Aurora,350 ft.,Atwood Oceanics,30000 ft.,Jackup,"NOV TDS-11SA 500 ton hoisting capability, 800 HP",Bassoe Technology AB BassTech A/S,--,Africa - West,"Woolslayer 142'; Capacity: 700,000 lbs; Racking: 17,000 lbs",Bassoe Technology AB BassTech A/S,Lewco 37.5 in. diameter Model Hyd Drive 100 hp,"3 x Lewco WH1312, 1300 HP",Tender,Panama,Drilling,Yes,"",2010,ABS,"Lamprell Shipyard, UAE"
290,Atwood Oceanics,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Addax Petroleum,Atwood Hunter,Atwood Hunter,2014-09-18 19:15:55.090026,Rigzone -- full,,Cameroon,http://www.rigzone.com/data/offshore_drilling_rigs/52/Semisub/Atwood_Oceanics/Atwood_Hunter,5000 ft.,Atwood Oceanics,28000 ft.,Semisub,"Varco TDS 8SA GE A20 AC motor.  1500HP intermittent with VFD variable speed AC motor drive. Continuous drilling torque @ 100RPM and 100,000 max break-out torque foo, 1200 HP",LeTourneau Super 116E,236 ft,Africa - West,"x 35' x 35'; Capacity: 1,500,000 lbs; Hook + Setback: 2,250,000 lbs",LeTourneau Super 116E,49.5 in. diameter Hydraulic drive.,"3 x Lewco W-2215 triplex mud pumps with two GE752 1100HP top mounted motors and belt drive configuration. Each pump is fitted with dual L20-7500 Lewco high-pressure dampeners.  Fluid ends rated for 7500 psi WP., 2200 HP",Jackup,Marshall Islands,Drilling,Yes,"Lewco LDW 1500K 4,500 HP",2008,ABS,"Keppel AmFELS, Brownsville, Texas"
338,,http://www.rigzone.com/data/results.asp?P=2&Region_ID=10,,BoLCtXbc,,,Rowan Renaissance,Rowan Renaissance,2014-09-18 19:15:55.090026,Rigzone -- full,,,http://www.rigzone.com/data/offshore_drilling_rigs/1714/Drillship/Rowan/Rowan_Renaissance,12000 ft.,Rowan,40000 ft.,Drillship,,,,,,,,,,,,,,,,
